SUBREGION,REGION,INHABITANTS (2019),"SP-LAT, LONG",ID
Araraquara,Interior,488055,"-21.7886713, -48.1773096",1
Araçatuba,Interior,287109,"-21.207992, -50.4390225",2
Baixada Santista,Litorânea,1677162,"-23.960833, -46.333889",3
Barretos,Interior,122098,"-20.5531437, -48.5697509",4
Bauru,Interior,741999,"-22.3218102, -49.0705863",5
Campinas,Interior,3322112,"-22.90556, -47.06083",6
Franca,Interior,353187,"-20.5381768, -47.4009795",7
Grande SP Leste,Metropolitana,2952420,"-23.4430602, -46.524459",8
Grande SP Norte,Metropolitana,608783,"-23.2817308, -46.7448996",9
Grande SP Oeste,Metropolitana,1875611,"-23.5324859, -46.7916801",10
Grande SP Sudeste,Metropolitana,2739025,"-23.694450, -46.565800",11
Grande SP Sudoeste,Metropolitana,1040890,"-23.6121912, -46.7790539",12
Marília,Interior,343268,"-22.217108, -49.95006",13
Piracicaba,Interior,1050916,"-22.72528, -47.64917",14
Presidente Prudente,Interior,405602,"-22.1225167, -51.3882528",15
Registro,Interior,56322,"-24.50830, -47.84940",16
Ribeirão Preto,Interior,907698,"-21.178333, -47.8066671",17
Sorocaba,Interior,1191917,"-23.501667, -47.458056",18
São José do Rio Preto,Interior,677080,"-20.8125851, -49.3804212",19
São João da Boa Vista,Interior,243099,"-21.9778137, -46.7881722",20
São Paulo,Metropolitana,12252023,"-23.5506507, -46.6333824",21
Taubaté,Interior,1682188,"-23.031448, -45.5612792",22